iter	MAE	RMSE
0	22.75182998	25.75733422
1	22.42823401	25.38811921
2	22.10914589	25.02665503
3	21.79522472	24.67173941
4	21.49105926	24.32850431
5	21.19875407	23.99566292
6	20.91227945	23.67152994
7	20.62875746	23.35296369
8	20.35107862	23.04030191
9	20.08069908	22.73567784
10	19.81877608	22.44179388
11	19.56001783	22.15211387
12	19.3078542	21.87045724
13	19.06171743	21.59416252
14	18.82450283	21.32961099
15	18.58924256	21.06964254
16	18.35798849	20.81276465
17	18.13618672	20.56815242
18	17.91864393	20.32919136
19	17.70667181	20.09563552
20	17.49770417	19.86564603
21	17.29396607	19.64176104
22	17.09507722	19.42509813
23	16.90088255	19.21487709
24	16.71409704	19.01222556
25	16.52820057	18.81044075
26	16.34820712	18.61675445
27	16.17129487	18.42708792
28	16.00106885	18.24519532
29	15.8328946	18.06650479
30	15.66656661	17.88919284
31	15.50817142	17.72135518
32	15.35325408	17.55759673
33	15.19979469	17.39671703
34	15.0529795	17.24235933
35	14.91018322	17.09313788
36	14.77000317	16.94819898
37	14.63082984	16.8046721
38	14.49186231	16.66115582
39	14.3641043	16.53055649
40	14.23740972	16.40275279
41	14.10954746	16.27262699
42	13.98399363	16.14567849
43	13.86550738	16.02748017
44	13.74742402	15.91083281
45	13.63207489	15.79775844
46	13.52038198	15.68790768
47	13.41352921	15.58445021
48	13.30859681	15.48317406
49	13.20705076	15.3858034
50	13.10711269	15.2902109
51	13.00737057	15.1943628
52	12.91002563	15.10210252
53	12.81652387	15.01408858
54	12.72424616	14.92767405
55	12.63782203	14.84799579
56	12.55150465	14.76792946
57	12.46800604	14.68916919
58	12.38515896	14.61391218
59	12.30068916	14.53630508
60	12.21977292	14.46299813
61	12.14213827	14.39353527
62	12.06549194	14.32551175
63	11.99100626	14.25922638
64	11.91820376	14.19573598
65	11.84690765	14.1328418
66	11.77587588	14.07031022
67	11.70977186	14.0139198
68	11.64272484	13.95621728
69	11.58072479	13.90498107
70	11.51848779	13.85301998
71	11.45663235	13.80137885
72	11.39805102	13.7540528
73	11.33881713	13.7049009
74	11.28241782	13.65753917
75	11.22565057	13.60935612
76	11.16856669	13.56309532
77	11.11489544	13.51906923
78	11.06095204	13.47494613
79	11.00868669	13.43359279
80	10.9602549	13.39644409
81	10.91141845	13.35796408
82	10.86242768	13.31758858
83	10.81776642	13.28397232
84	10.77237537	13.24832624
85	10.72937215	13.21642408
86	10.68819004	13.18534623
87	10.64519146	13.15241238
88	10.60228693	13.11944354
89	10.56105469	13.08782738
90	10.5238929	13.06064303
91	10.48493759	13.03215417
92	10.44717264	13.00478661
93	10.40952047	12.97637246
94	10.3700449	12.94645015
95	10.33716234	12.92402593
96	10.30105775	12.89888905
97	10.26912567	12.87769287
98	10.23512684	12.85326033
99	10.20191134	12.82944311
100	10.16960854	12.80758524
101	10.13534047	12.78231159
102	10.10296246	12.75797825
103	10.07281451	12.73603021
104	10.04027142	12.71179
105	10.01097098	12.69282341
106	9.983207305	12.67323208
107	9.955331943	12.65291275
108	9.930048576	12.63687735
109	9.904241186	12.61870983
110	9.876812401	12.59899676
111	9.849154634	12.57865733
112	9.82383131	12.56093855
113	9.800886976	12.5463819
114	9.777675033	12.53121824
115	9.756349366	12.51804747
116	9.734379296	12.50205871
117	9.709822958	12.48463198
