iter	Passed	Remaining
0	43	217304
1	84	210681
2	124	207942
3	167	209775
4	208	208314
5	249	207392
6	290	207297
7	331	207031
8	373	206931
9	413	206510
10	456	207088
11	496	206401
12	538	206562
13	581	207030
14	623	207170
15	664	206920
16	706	207113
17	748	207083
18	792	207788
19	835	208035
20	880	208650
21	921	208429
22	962	208253
23	1004	208270
24	1046	208338
25	1088	208147
26	1130	208307
27	1170	207927
28	1213	208033
29	1256	208089
30	1301	208646
31	1342	208417
32	1383	208210
33	1426	208321
34	1467	208179
35	1507	207830
36	1550	207988
37	1592	207936
38	1632	207684
39	1675	207704
40	1716	207618
41	1739	205378
42	1784	205669
43	1825	205615
44	1867	205586
45	1910	205721
46	1954	205927
47	1997	206054
48	2042	206327
49	2085	206499
50	2132	206979
51	2177	207207
52	2226	207796
53	2270	207933
54	2312	207953
55	2358	208260
56	2403	208443
57	2449	208679
58	2492	208743
59	2536	208846
60	2581	209026
61	2625	209121
62	2671	209315
63	2717	209593
64	2763	209793
65	2808	209942
66	2848	209739
67	2889	209588
68	2932	209534
69	2975	209580
70	3018	209518
71	3060	209450
72	3100	209285
73	3143	209275
74	3185	209174
75	3231	209356
76	3273	209307
77	3315	209193
78	3358	209231
79	3400	209137
80	3441	209016
81	3484	208987
82	3528	209030
83	3570	208963
84	3613	208942
85	3655	208846
86	3697	208794
87	3741	208818
88	3783	208762
89	3824	208652
90	3867	208615
91	3909	208567
92	3952	208527
93	3994	208477
94	4038	208512
95	4080	208426
96	4121	208337
97	4162	208229
98	4203	208088
99	4244	208004
100	4286	207918
101	4330	207926
102	4372	207862
103	4413	207779
104	4456	207772
105	4498	207675
106	4539	207586
107	4582	207577
108	4624	207487
109	4665	207416
110	4707	207355
111	4750	207342
112	4794	207347
113	4835	207266
114	4876	207134
115	4916	207000
116	4958	206940
117	4998	206812
118	5041	206786
119	5082	206668
120	5124	206612
121	5165	206539
122	5208	206524
123	5251	206511
124	5294	206479
125	5337	206468
126	5379	206404
127	5423	206414
128	5463	206299
129	5504	206195
130	5544	206088
131	5585	205990
132	5629	206012
133	5671	205945
134	5714	205926
135	5754	205810
136	5795	205708
137	5836	205629
138	5879	205611
139	5921	205544
140	5960	205404
141	6003	205375
142	6044	205312
143	6084	205181
144	6126	205148
145	6170	205163
146	6213	205130
147	6254	205033
148	6296	204990
149	6337	204897
150	6378	204826
151	6420	204792
152	6463	204769
153	6504	204690
154	6547	204668
155	6588	204567
156	6629	204503
157	6671	204453
158	6714	204445
159	6756	204391
160	6798	204334
161	6837	204190
162	6878	204126
163	6919	204049
164	6962	204036
165	7005	203993
166	7046	203937
167	7088	203883
168	7134	203933
169	7174	203840
170	7217	203811
171	7259	203765
172	7301	203733
173	7343	203678
174	7385	203634
175	7427	203583
176	7470	203567
177	7511	203476
178	7552	203414
179	7594	203365
180	7637	203330
181	7681	203338
182	7725	203347
183	7766	203292
184	7807	203194
185	7850	203172
186	7893	203150
187	7935	203119
188	7975	203018
189	8017	202958
190	8058	202892
191	8098	202806
192	8139	202726
193	8180	202657
194	8222	202618
195	8266	202625
196	8311	202630
197	8354	202608
198	8394	202529
199	8436	202477
200	8477	202416
201	8520	202383
202	8562	202339
203	8601	202226
204	8642	202147
205	8684	202093
206	8724	202008
207	8767	201985
208	8810	201977
209	8851	201905
210	8893	201861
211	8933	201767
212	8973	201683
213	9014	201603
214	9056	201569
215	9096	201459
216	9138	201426
217	9179	201355
218	9217	201234
219	9258	201155
220	9299	201103
221	9341	201052
222	9384	201028
223	9425	200971
224	9468	200951
225	9510	200903
226	9553	200867
227	9593	200795
228	9633	200707
229	9673	200616
230	9716	200598
231	9758	200553
232	9800	200514
233	9848	200592
234	9890	200537
235	9931	200489
236	9972	200419
237	10014	200370
238	10087	200953
239	10157	201456
240	10235	202117
241	10310	202722
242	10384	203284
243	10457	203833
244	10527	204325
245	10602	204892
246	10680	205529
247	10757	206129
248	10833	206706
249	10912	207331
250	10980	207757
251	11054	208289
252	11129	208828
253	11203	209341
254	11276	209825
255	11346	210256
256	11421	210794
257	11495	211287
258	11569	211782
259	11644	212290
260	11718	212776
261	11791	213232
262	11864	213703
263	11936	214139
264	12010	214599
265	12079	214986
266	12151	215409
267	12225	215856
268	12296	216255
269	12363	216592
270	12435	217009
271	12518	217597
272	12593	218050
273	12664	218447
274	12738	218877
275	12815	219345
276	12882	219657
277	12959	220119
278	13033	220546
279	13108	220966
280	13177	221289
281	13249	221668
282	13319	222005
283	13390	222363
284	13466	222788
285	13538	223153
286	13612	223539
287	13686	223930
288	13760	224310
289	13833	224667
290	13909	225086
291	13982	225443
292	14053	225768
293	14129	226167
294	14201	226503
295	14278	226917
296	14354	227304
297	14429	227669
298	14501	228004
299	14574	228330
300	14646	228657
301	14720	228998
302	14795	229347
303	14864	229618
304	14943	230027
305	15017	230366
306	15088	230649
307	15163	230994
308	15243	231409
309	15323	231829
310	15396	232140
311	15469	232436
312	15540	232707
313	15611	232979
314	15686	233305
315	15740	233321
316	15781	233144
317	15822	232960
318	15864	232801
319	15907	232645
320	15947	232454
321	15987	232267
322	16029	232100
323	16070	231931
324	16112	231779
325	16153	231593
326	16198	231479
327	16238	231295
328	16279	231122
329	16319	230948
330	16361	230787
331	16400	230600
332	16441	230423
333	16483	230271
334	16525	230125
335	16565	229947
336	16606	229781
337	16650	229657
338	16692	229504
339	16734	229362
340	16774	229190
341	16815	229020
342	16856	228864
343	16898	228716
344	16938	228550
345	16979	228390
346	17020	228225
347	17060	228066
348	17103	227925
349	17144	227778
350	17186	227630
351	17228	227493
352	17271	227362
353	17312	227209
354	17356	227096
355	17396	226938
356	17439	226810
357	17482	226681
358	17522	226529
359	17565	226396
360	17606	226256
361	17647	226100
362	17688	225958
363	17731	225831
364	17774	225715
365	17817	225586
366	17861	225477
367	17904	225357
368	17944	225211
369	17985	225062
370	18025	224902
371	18067	224780
372	18110	224661
373	18152	224525
374	18194	224401
375	18235	224255
376	18278	224136
377	18319	224006
378	18359	223845
379	18398	223687
380	18442	223579
381	18483	223450
382	18526	223331
383	18568	223205
384	18609	223074
385	18652	222958
386	18694	222833
387	18734	222684
388	18775	222558
389	18817	222433
390	18858	222299
391	18900	222177
392	18942	222051
393	18985	221944
394	19026	221817
395	19067	221684
396	19109	221564
397	19150	221434
398	19193	221329
399	19235	221213
400	19278	221101
401	19318	220965
402	19360	220847
403	19402	220727
404	19443	220604
405	19485	220482
406	19525	220346
407	19565	220209
408	19607	220093
409	19649	219981
410	19691	219867
411	19732	219743
412	19774	219621
413	19815	219497
414	19857	219386
415	19901	219300
416	19943	219192
417	19985	219073
418	20028	218973
419	20069	218858
420	20112	218758
421	20154	218647
422	20196	218531
423	20238	218424
424	20280	218308
425	20320	218187
426	20362	218079
427	20405	217977
428	20447	217871
429	20488	217748
430	20530	217638
431	20571	217528
432	20614	217425
433	20656	217320
434	20696	217194
435	20738	217084
436	20778	216961
437	20821	216871
438	20862	216752
439	20904	216642
440	20947	216553
441	20990	216462
442	21029	216324
443	21070	216206
444	21111	216100
445	21155	216013
446	21195	215891
447	21237	215792
448	21280	215694
449	21322	215590
450	21363	215485
451	21404	215374
452	21447	215280
453	21490	215192
454	21531	215079
455	21572	214972
456	21615	214874
457	21656	214770
458	21697	214662
459	21738	214549
460	21779	214442
461	21820	214328
462	21861	214227
463	21901	214105
464	21942	214002
465	21984	213901
466	22026	213801
467	22067	213697
468	22110	213612
469	22154	213531
470	22197	213444
471	22239	213351
472	22282	213261
473	22323	213151
474	22363	213043
475	22405	212945
476	22446	212844
477	22488	212748
478	22531	212664
479	22571	212544
480	22613	212453
481	22657	212379
482	22699	212283
483	22739	212169
484	22780	212069
485	22818	211935
486	22861	211854
487	22902	211755
488	22943	211652
489	22984	211547
490	23026	211457
491	23069	211376
492	23110	211277
493	23151	211173
494	23192	211071
495	23234	210980
496	23274	210872
497	23316	210786
498	23358	210691
499	23399	210591
500	23440	210500
501	23482	210405
502	23527	210345
503	23570	210260
504	23611	210166
505	23653	210077
506	23693	209973
507	23733	209862
508	23773	209761
509	23814	209664
510	23859	209596
511	23900	209498
512	23940	209399
513	23982	209306
514	24024	209220
515	24066	209137
516	24110	209069
517	24153	208986
518	24195	208901
519	24236	208805
520	24281	208742
521	24324	208665
522	24363	208559
523	24403	208457
524	24445	208367
525	24486	208274
526	24530	208203
527	24571	208114
528	24613	208024
529	24654	207934
530	24695	207843
531	24737	207758
532	24780	207681
533	24820	207584
534	24863	207507
535	24904	207414
536	24946	207330
537	24987	207238
538	25029	207156
539	25070	207063
540	25110	206965
541	25153	206892
542	25197	206823
543	25237	206725
544	25280	206646
545	25321	206556
546	25361	206463
547	25402	206368
548	25442	206273
549	25482	206179
550	25524	206094
551	25564	205998
552	25605	205909
553	25647	205828
554	25691	205765
555	25733	205680
556	25775	205602
557	25820	205542
558	25860	205451
559	25901	205361
560	25944	205287
561	25985	205204
562	26026	205110
563	26065	205013
564	26108	204939
565	26150	204864
566	26193	204788
567	26233	204698
568	26275	204617
569	26316	204531
570	26357	204442
571	26399	204368
572	26440	204282
573	26481	204195
574	26524	204122
575	26564	204028
576	26606	203956
577	26647	203864
578	26690	203795
579	26735	203744
580	26778	203670
581	26820	203595
582	26860	203501
583	26900	203414
584	26941	203330
585	26982	203247
586	27023	203160
587	27065	203085
588	27105	202992
589	27147	202916
590	27189	202836
591	27230	202753
592	27272	202680
593	27312	202587
594	27354	202514
595	27397	202447
596	27437	202357
597	27479	202279
598	27521	202205
599	27562	202123
600	27605	202055
601	27646	201977
602	27687	201892
603	27727	201802
604	27769	201729
605	27809	201640
606	27850	201564
607	27894	201498
608	27935	201419
609	27977	201347
610	28020	201279
611	28060	201190
612	28103	201122
613	28144	201045
614	28184	200954
615	28225	200880
616	28266	200799
617	28309	200730
618	28351	200656
619	28391	200572
620	28432	200493
621	28473	200415
622	28516	200349
623	28558	200275
624	28598	200190
625	28639	200108
626	28679	200027
627	28720	199949
628	28760	199861
629	28803	199796
630	28846	199732
631	28887	199649
632	28927	199566
633	28967	199482
634	29005	199386
635	29046	199307
636	29087	199229
637	29127	199143
638	29168	199064
639	29211	199002
640	29252	198926
641	29295	198860
642	29335	198780
643	29380	198728
644	29421	198654
645	29463	198578
646	29503	198495
647	29544	198422
648	29586	198350
649	29627	198277
650	29668	198197
651	29710	198133
652	29752	198061
653	29794	197993
654	29836	197922
655	29880	197864
656	29921	197791
657	29962	197716
658	30004	197649
659	30048	197593
660	30090	197525
661	30131	197445
662	30173	197380
663	30214	197301
664	30255	197232
665	30297	197160
666	30338	197088
667	30380	197017
668	30423	196959
669	30464	196883
670	30506	196814
671	30546	196734
672	30588	196664
673	30628	196587
674	30669	196513
675	30709	196431
676	30748	196342
677	30789	196270
678	30831	196203
679	30872	196130
680	30912	196049
681	30956	195994
682	30998	195931
683	31040	195862
684	31083	195802
685	31124	195731
686	31167	195668
687	31206	195586
688	31247	195512
689	31287	195435
690	31329	195369
691	31372	195309
692	31414	195241
693	31456	195177
694	31499	195113
695	31540	195045
696	31581	194970
697	31622	194900
698	31664	194836
699	31706	194771
700	31747	194698
701	31789	194631
702	31830	194560
703	31872	194495
704	31915	194432
705	31957	194368
706	31998	194301
707	32039	194231
708	32080	194158
709	32122	194093
710	32163	194021
711	32204	193948
712	32243	193868
713	32284	193800
714	32327	193736
715	32367	193661
716	32406	193580
717	32449	193519
718	32490	193453
719	32533	193392
720	32576	193334
721	32618	193272
722	32658	193195
723	32697	193116
724	32739	193049
725	32782	192993
726	32824	192926
727	32865	192861
728	32906	192788
729	32947	192719
730	32987	192645
731	33026	192565
732	33069	192505
733	33110	192437
734	33150	192362
735	33190	192286
736	33230	192214
737	33271	192142
738	33311	192069
739	33353	192009
740	33394	191938
741	33435	191868
742	33477	191809
743	33522	191765
744	33532	191517
745	33571	191438
746	33613	191377
747	33654	191306
748	33695	191238
749	33734	191162
750	33779	191115
751	33819	191044
752	33858	190965
753	33898	190894
754	33940	190828
755	33980	190759
756	34021	190691
757	34064	190632
758	34108	190582
759	34146	190499
760	34187	190435
761	34227	190360
762	34268	190294
763	34308	190224
764	34350	190161
765	34393	190104
766	34435	190045
767	34475	189976
768	34517	189911
769	34554	189823
770	34594	189753
771	34638	189705
772	34677	189628
773	34718	189563
774	34758	189492
775	34800	189428
776	34840	189355
777	34880	189285
778	34920	189218
779	34961	189150
780	34999	189068
781	35042	189016
782	35082	188945
